Date,Positive_nlikes,Positive_nreplies,Positive_nretweets,Negative_nlikes,Negative_nreplies,Negative_nretweets,Neutral_nlikes,Neutral_nreplies,Neutral_nretweets,Total_Positive,Total_Negative,Total_Neutral
2020-05-21,14706,1580,5747,10237,939,3956,8687,622,3357,22033,15132,12666
2020-05-22,11852,1217,4740,9962,1233,2929,18334,1194,8667,17809,14124,28195
2020-05-23,37355,1865,8543,11085,1110,3444,11377,837,4482,47763,15639,16696
2020-05-24,36911,2841,7806,25166,1708,7311,17397,1398,6408,47558,34185,25203
2020-05-25,23367,3927,6209,309578,20572,46412,12438,1565,5723,33503,376562,19726
2020-05-26,24411,1914,6563,17920,2722,5187,9686,941,4525,32888,25829,15152
2020-05-27,27446,1996,8361,14529,1603,5750,9860,1626,3612,37803,21882,15098
2020-05-28,22299,1650,7261,15374,1747,6831,50690,4081,17388,31210,23952,72159
2020-05-29,20890,1431,7017,9407,833,3779,14571,1317,4782,29338,14019,20670
2020-05-30,16750,1328,5371,10166,1062,3864,7893,700,5604,23449,15092,14197
2020-05-31,21219,1742,8167,10549,897,4165,9369,1697,4082,31128,15611,15148
2020-06-01,25020,1392,9126,12636,1017,5742,19918,1311,7451,35538,19395,28680
2020-06-02,15284,1761,5692,34760,2693,11481,16472,1823,8992,22737,48934,27287
2020-06-03,50442,3728,15530,18953,2033,6775,29840,2930,15217,69700,27761,47987
2020-06-04,30030,2217,7859,15759,1518,5938,9330,1073,4769,40106,23215,15172
2020-06-05,19183,2071,6815,23237,2181,9306,8717,868,4026,28069,34724,13611
2020-06-06,19351,1898,8900,7608,929,2375,10334,760,5453,30149,10912,16547
2020-06-07,17348,1786,6323,18105,1374,6400,5912,1096,3189,25457,25879,10197
2020-06-08,34163,2792,11005,11235,1552,4010,9332,992,5367,47960,16797,15691
2020-06-09,31086,4098,10875,42487,3468,17007,41494,5952,10940,46059,62962,58386
2020-06-10,17454,2084,7213,14114,1128,6933,10397,1039,7264,26751,22175,18700
2020-06-11,16882,2478,7447,43900,2860,12772,6887,1160,3675,26807,59532,11722
2020-06-12,40466,3292,11224,10861,1241,3992,12065,1094,4576,54982,16094,17735
2020-06-13,19673,2030,7745,17435,1570,6309,11726,2689,5201,29448,25314,19616
2020-06-14,21583,1700,14480,9007,1283,3957,11160,885,7769,37763,14247,19814
2020-06-15,47573,4356,9742,18061,1234,8339,16312,1766,6714,61671,27634,24792
2020-06-16,61970,4935,14949,18106,1462,6611,22385,986,9556,81854,26179,32927
2020-06-17,35165,5943,11706,9982,1005,4117,12642,1661,6180,52814,15104,20483
2020-06-18,17781,1987,8255,15372,1215,5205,10050,1204,5765,28023,21792,17019
2020-06-19,47370,2471,17963,9563,939,3977,13631,1151,5550,67804,14479,20332
2020-06-20,29576,2270,16295,8849,847,3229,7816,838,4583,48141,12925,13237
2020-06-21,18170,1592,5265,9460,1335,3000,19309,873,7987,25027,13795,28169
2020-06-22,15259,1612,6671,23888,1879,8512,13894,751,6998,23542,34279,21643
2020-06-23,37018,2108,9413,16787,4464,6875,7026,690,5023,48539,28126,12739
2020-06-24,23879,2147,9084,6133,807,2946,8850,1800,5360,35110,9886,16010
