Date,Positive_nlikes,Positive_nreplies,Positive_nretweets,Negative_nlikes,Negative_nreplies,Negative_nretweets,Neutral_nlikes,Neutral_nreplies,Neutral_nretweets,Total_Positive,Total_Negative,Total_Neutral
2020-04-21,957,127,320,648,94,296,366,82,98,1404,1038,546
2020-04-22,3877,270,1236,1528,132,419,253,51,91,5383,2079,395
2020-04-23,5686,546,1818,5401,305,1105,606,74,229,8050,6811,909
2020-04-24,6059,393,2224,2196,184,559,755,93,204,8676,2939,1052
2020-04-25,2646,309,549,2022,159,386,702,65,176,3504,2567,943
2020-04-26,5134,367,1557,855,178,94,580,94,200,7058,1127,874
2020-04-27,1119,206,211,1972,167,178,1021,126,519,1536,2317,1666
2020-04-28,2147,247,574,1213,175,232,600,164,46,2968,1620,810
2020-04-29,4520,209,604,1957,224,404,958,129,319,5333,2585,1406
2020-04-30,1961,248,546,1152,106,134,523,55,103,2755,1392,681
2020-05-01,3812,1740,664,1737,210,334,793,165,100,6216,2281,1058
2020-05-02,1802,436,331,2061,267,473,443,92,85,2569,2801,620
2020-05-03,1520,213,221,1659,134,307,297,32,108,1954,2100,437
2020-05-04,10652,3259,1385,3389,270,342,2303,122,235,15296,4001,2660
2020-05-05,1873,259,484,1400,159,117,1078,87,193,2616,1676,1358
2020-05-06,4610,267,1476,890,104,230,438,42,112,6353,1224,592
2020-05-07,2834,256,1202,584,95,65,494,68,113,4292,744,675
2020-05-08,4421,267,1600,6487,301,1140,487,41,54,6288,7928,582
2020-05-09,2944,184,697,1058,110,144,587,60,118,3825,1312,765
2020-05-10,1008,117,270,344,60,68,283,37,38,1395,472,358
2020-05-11,1466,182,468,1170,63,151,207,36,84,2116,1384,327
2020-05-12,5614,228,958,627,98,241,486,27,90,6800,966,603
2020-05-13,1480,175,388,409,77,40,319,32,82,2043,526,433
2020-05-14,1396,194,308,897,134,218,3116,79,1075,1898,1249,4270
2020-05-15,2174,209,736,570,74,80,743,64,171,3119,724,978
2020-05-16,3839,225,1123,8213,1622,1429,745,142,85,5187,11264,972
2020-05-17,2910,392,600,1311,171,320,517,92,125,3902,1802,734
2020-05-18,2750,248,703,4546,185,1095,403,62,97,3701,5826,562
2020-05-19,4951,346,700,9398,500,970,676,64,57,5997,10868,797
2020-05-20,5938,289,1758,1703,149,298,619,48,160,7985,2150,827
2020-05-21,5303,941,1820,5342,283,2387,287,57,59,8064,8012,403
2020-05-22,2466,236,535,1746,128,445,2010,149,648,3237,2319,2807
2020-05-23,2368,248,494,446,105,39,416,57,66,3110,590,539
2020-05-24,1640,517,393,571,68,67,309,32,52,2550,706,393
2020-05-25,4626,178,1073,3608,167,513,730,72,123,5877,4288,925
2020-05-26,1980,189,383,757,78,115,713,50,214,2552,950,977
2020-05-27,3535,353,1209,408,92,58,661,92,161,5097,558,914
2020-05-28,1836,588,400,1020,84,231,1478,85,494,2824,1335,2057
2020-05-29,1927,178,525,649,81,182,1362,176,355,2630,912,1893
2020-05-30,6017,273,1037,1891,200,176,921,68,166,7327,2267,1155
2020-05-31,1571,183,648,694,82,138,392,37,67,2402,914,496
2020-06-01,85903,720,33721,2171,160,669,1887,95,427,120344,3000,2409
2020-06-02,3561,236,2566,16011,223,6979,521,68,173,6363,23213,762
2020-06-03,13223,366,3232,3730,187,2012,454,54,112,16821,5929,620
2020-06-04,7691,445,2471,6288,260,1550,1165,67,899,10607,8098,2131
2020-06-05,2484,275,620,2461,164,623,593,66,204,3379,3248,863
2020-06-06,2038,261,485,1968,199,665,1748,102,181,2784,2832,2031
2020-06-07,18594,722,2518,17471,522,4798,6326,270,2094,21834,22791,8690
2020-06-08,4486,349,1722,3465,311,910,578,82,92,6557,4686,752
2020-06-09,6689,671,959,2516,217,647,1209,128,244,8319,3380,1581
2020-06-10,33942,717,4358,20026,524,3495,3779,208,720,39017,24045,4707
2020-06-11,6301,712,1650,30294,1537,7479,1230,236,307,8663,39310,1773
2020-06-12,6268,894,1179,3023,283,743,3116,139,632,8341,4049,3887
2020-06-13,18784,1769,4254,12180,315,1357,1893,445,278,24807,13852,2616
2020-06-14,18244,1177,4755,14902,583,4733,12412,557,2862,24176,20218,15831
2020-06-15,11875,584,2298,5624,581,1048,2148,176,638,14757,7253,2962
2020-06-16,11821,609,2826,4750,451,1987,1599,158,480,15256,7188,2237
2020-06-17,13518,937,5464,1885,272,660,1262,156,485,19919,2817,1903
2020-06-18,4871,873,1521,2172,152,479,1476,92,577,7265,2803,2145
2020-06-19,7071,526,1660,4433,168,1575,2091,117,454,9257,6176,2662
2020-06-20,4776,986,869,2340,261,488,1172,76,320,6631,3089,1568
2020-06-21,2578,268,537,1567,151,294,545,69,146,3383,2012,760
2020-06-22,8774,405,1922,1669,202,504,2845,174,426,11101,2375,3445
2020-06-23,17029,611,3944,3170,227,951,626,79,185,21584,4348,890
2020-06-24,11586,819,4597,2117,238,613,701,85,174,17002,2968,960
2020-06-25,7747,453,2306,1611,129,609,1509,85,469,10506,2349,2063
2020-06-26,6377,426,1893,1168,148,332,1415,104,172,8696,1648,1691
2020-06-27,17166,808,3556,3142,296,1127,2591,196,561,21530,4565,3348
2020-06-28,7912,535,1991,30090,306,14683,905,116,211,10438,45079,1232
2020-06-29,8127,565,1623,1679,270,300,2246,165,477,10315,2249,2888
2020-06-30,9369,574,2202,6120,425,2177,659,151,140,12145,8722,950
2020-07-01,11784,777,2158,3202,312,887,1674,109,211,14719,4401,1994
2020-07-02,4954,356,1225,1451,129,269,1282,155,141,6535,1849,1578
2020-07-03,8402,374,1375,9097,281,2590,3225,192,774,10151,11968,4191
2020-07-04,4224,300,913,2769,242,637,490,65,81,5437,3648,636
2020-07-05,4553,355,869,8354,300,1627,12636,210,2920,5777,10281,15766
2020-07-06,5240,471,852,3888,336,552,5826,297,1577,6563,4776,7700
2020-07-07,5267,633,1026,3363,337,705,1547,199,354,6926,4405,2100
2020-07-08,3099,367,658,3908,282,308,1433,137,311,4124,4498,1881
2020-07-09,12354,840,1867,4650,323,1008,949,118,152,15061,5981,1219
2020-07-10,3566,458,692,6409,238,584,2208,131,707,4716,7231,3046
2020-07-11,2827,275,644,1004,160,148,829,128,195,3746,1312,1152
2020-07-12,3474,356,779,2178,275,545,1289,189,209,4609,2998,1687
2020-07-13,3012,331,683,3567,335,881,880,140,357,4026,4783,1377
2020-07-14,3652,370,872,4352,3519,1150,1725,156,280,4894,9021,2161
2020-07-15,4410,366,1088,1818,190,560,1749,256,655,5864,2568,2660
2020-07-16,6914,492,1019,2074,231,512,1003,100,219,8425,2817,1322
2020-07-17,2185,332,398,3747,210,794,904,283,195,2915,4751,1382
2020-07-18,2690,220,668,1749,140,379,431,45,128,3578,2268,604
2020-07-19,3531,315,566,1306,170,204,474,61,103,4412,1680,638
2020-07-20,5139,354,1300,1734,220,309,2463,111,903,6793,2263,3477
2020-07-21,4602,391,735,1093,107,138,721,127,210,5728,1338,1058
2020-07-22,1917,240,379,1831,169,858,930,117,194,2536,2858,1241
2020-07-23,3261,311,737,1527,143,1048,443,71,116,4309,2718,630
2020-07-24,5838,584,1209,1029,146,112,523,57,132,7631,1287,712
2020-07-25,6416,417,753,1494,170,430,1306,110,318,7586,2094,1734
