Date,Positive_nlikes,Positive_nreplies,Positive_nretweets,Negative_nlikes,Negative_nreplies,Negative_nretweets,Neutral_nlikes,Neutral_nreplies,Neutral_nretweets,Total_Positive,Total_Negative,Total_Neutral
2016-06-29,3825,668,1543,290,66,270,919,205,740,6036,626,1864
2016-06-30,851,128,899,435,98,655,1212,177,1052,1878,1188,2441
2016-07-01,1063,110,494,455,106,413,965,215,813,1667,974,1993
2016-07-02,503,71,335,79,25,51,685,141,602,909,155,1428
2016-07-03,1538,297,1337,258,59,276,599,136,525,3172,593,1260
2016-07-04,395,117,300,2264,156,1002,4314,310,2043,812,3422,6667
2016-07-05,592,91,461,205,37,121,623,170,542,1144,363,1335
2016-07-06,588,86,452,324,64,286,3884,119,1941,1126,674,5944
2016-07-07,825,103,730,509,70,214,821,111,662,1658,793,1594
2016-07-08,516,65,333,328,69,197,700,129,669,914,594,1498
2016-07-09,514,57,419,149,36,97,404,77,394,990,282,875
2016-07-10,353,56,251,165,31,92,4090,300,1877,660,288,6267
2016-07-11,706,83,652,281,34,106,1098,144,823,1441,421,2065
2016-07-12,744,113,594,370,62,354,1596,255,1356,1451,786,3207
2016-07-13,440,62,351,637,121,435,546,128,575,853,1193,1249
2016-07-14,308,68,262,288,55,273,1828,293,1832,638,616,3953
2016-07-15,739,100,692,594,105,687,1312,283,1497,1531,1386,3092
2016-07-16,552,66,239,285,48,152,1300,211,712,857,485,2223
2016-07-17,402,70,379,1385,112,686,469,101,387,851,2183,957
2016-07-18,356,67,473,369,66,324,788,118,916,896,759,1822
2016-07-19,959,119,778,1580,121,740,808,166,584,1856,2441,1558
2016-07-20,768,104,433,354,64,234,1230,190,1120,1305,652,2540
2016-07-21,972,91,637,539,80,249,1668,231,1572,1700,868,3471
2016-07-22,686,101,474,1906,111,933,1164,206,860,1261,2950,2230
2016-07-23,475,70,426,331,72,294,791,131,799,971,697,1721
2016-07-24,969,131,755,750,79,430,9006,866,3329,1855,1259,13201
2016-07-25,1903,257,1113,1822,130,684,4070,420,2438,3273,2636,6928
2016-07-26,1214,297,811,886,121,591,1772,486,1570,2322,1598,3828
2016-07-27,1569,128,1097,624,87,584,1793,270,1562,2794,1295,3625
2016-07-28,625,106,418,721,82,606,6622,788,3382,1149,1409,10792
2016-07-29,6005,319,1845,239,54,101,2102,314,1365,8169,394,3781
2016-07-30,1172,160,641,512,101,267,1038,152,788,1973,880,1978
2016-07-31,427,99,342,275,18,293,809,143,769,868,586,1721
2016-08-01,1201,91,1741,2914,71,1393,747,140,559,3033,4378,1446
2016-08-02,365,69,288,275,54,216,934,132,969,722,545,2035
2016-08-03,784,91,460,2664,174,1240,815,139,591,1335,4078,1545
2016-08-04,612,105,500,304,37,264,1514,280,1512,1217,605,3306
2016-08-05,1151,84,534,478,110,476,1121,158,885,1769,1064,2164
2016-08-06,10762,602,4353,5345,532,2336,12314,819,5585,15717,8213,18718
2016-08-07,443,59,248,361,53,421,894,146,873,750,835,1913
2016-08-08,431,82,217,347,55,452,730,114,655,730,854,1499
2016-08-09,589,72,353,321,71,261,1027,147,843,1014,653,2017
2016-08-10,928,96,987,438,45,315,717,115,479,2011,798,1311
2016-08-11,4455,342,1554,208,59,116,1118,203,679,6351,383,2000
2016-08-12,612,104,357,162,44,125,772,151,820,1073,331,1743
2016-08-13,2126,141,2016,555,86,367,6435,692,1953,4283,1008,9080
2016-08-14,713,64,665,268,55,201,1071,149,943,1442,524,2163
2016-08-15,564,96,459,786,98,475,1183,231,1297,1119,1359,2711
2016-08-16,1298,147,561,604,115,379,1761,327,1745,2006,1098,3833
2016-08-17,1192,220,1481,694,86,413,2206,230,1707,2893,1193,4143
2016-08-18,1032,201,1157,1231,142,291,2029,343,1919,2390,1664,4291
2016-08-19,488,161,512,372,87,294,1561,228,1143,1161,753,2932
2016-08-20,429,80,333,298,57,303,698,136,674,842,658,1508
2016-08-21,410,89,438,3179,72,713,1061,131,799,937,3964,1991
2016-08-22,398,71,215,453,69,411,1562,259,1580,684,933,3401
2016-08-23,634,96,517,283,69,231,1103,245,974,1247,583,2322
2016-08-24,919,154,888,294,55,248,1436,261,1391,1961,597,3088
2016-08-25,823,111,722,181,28,191,1173,207,1027,1656,400,2407
2016-08-26,227,79,184,378,53,206,675,114,689,490,637,1478
2016-08-27,480,70,461,287,45,223,1313,163,945,1011,555,2421
2016-08-28,532,74,393,235,40,223,859,88,783,999,498,1730
2016-08-29,353,73,184,240,39,149,879,101,650,610,428,1630
2016-08-30,543,94,456,2403,187,892,627,119,519,1093,3482,1265
2016-08-31,861,111,731,397,50,239,766,156,526,1703,686,1448
2016-09-01,591,98,340,1598,108,883,2172,312,1502,1029,2589,3986
2016-09-02,477,61,376,193,51,109,1898,198,790,914,353,2886
2016-09-03,5416,445,5925,1444,111,1141,3411,554,3190,11786,2696,7155
2016-09-04,1599,189,1318,338,56,291,4331,414,2953,3106,685,7698
2016-09-05,1506,185,1516,452,66,388,1218,157,1028,3207,906,2403
2016-09-06,1423,144,1511,1350,89,1227,1649,226,1445,3078,2666,3320
2016-09-07,740,95,320,565,55,536,1022,208,907,1155,1156,2137
2016-09-08,367,76,167,471,83,391,893,161,571,610,945,1625
2016-09-09,374,69,248,444,75,370,897,161,894,691,889,1952
2016-09-10,350,75,276,316,49,182,713,156,536,701,547,1405
2016-09-11,1611,200,1377,334,49,219,1767,171,1123,3188,602,3061
2016-09-12,1482,148,1073,401,60,345,1127,160,1102,2703,806,2389
2016-09-13,2432,173,1412,786,97,512,1504,273,975,4017,1395,2752
2016-09-14,908,198,634,409,108,514,993,208,762,1740,1031,1963
2016-09-15,1234,168,824,351,55,412,2809,259,2183,2226,818,5251
2016-09-16,604,92,463,492,117,230,1140,182,713,1159,839,2035
2016-09-17,356,55,187,1171,92,823,836,129,659,598,2086,1624
2016-09-18,1600,133,632,518,79,471,853,207,855,2365,1068,1915
2016-09-19,985,90,511,587,100,412,845,155,598,1586,1099,1598
2016-09-20,1126,85,937,619,159,451,1404,290,1351,2148,1229,3045
2016-09-21,1084,117,1097,546,164,496,1480,181,1243,2298,1206,2904
2016-09-22,1479,218,848,611,129,515,1068,218,802,2545,1255,2088
2016-09-23,535,102,455,367,74,299,1149,242,728,1092,740,2119
2016-09-24,346,84,371,437,80,358,522,110,367,801,875,999
2016-09-25,493,94,307,425,102,272,686,163,501,894,799,1350
2016-09-26,1158,160,743,487,83,348,2094,236,1329,2061,918,3659
2016-09-27,8832,1153,5085,5881,503,3894,62986,2075,50699,15070,10278,115760
2016-09-28,936,194,512,1106,205,1138,2146,319,1479,1642,2449,3944
2016-09-29,913,184,644,991,194,725,1575,277,1157,1741,1910,3009
2016-09-30,799,109,651,578,83,517,2017,206,1720,1559,1178,3943
2016-10-01,21,4,11,19,8,19,27,0,9,36,46,36
