Date,Positive_nlikes,Positive_nreplies,Positive_nretweets,Negative_nlikes,Negative_nreplies,Negative_nretweets,Neutral_nlikes,Neutral_nreplies,Neutral_nretweets,Total_nlikes,Total_nreplies,Total_nretweets
2016-08-30,1696,393,1579,740,258,887,1946,420,2134,4382,1071,4600
2016-08-31,2073,490,2237,1641,348,1649,2397,659,3062,6111,1497,6948
2016-09-01,1352,347,1035,226,113,243,1300,240,1654,2878,700,2932
2016-09-02,634,158,665,262,112,203,7536,725,3236,8432,995,4104
2016-09-03,635,134,663,420,113,471,1287,254,1444,2342,501,2578
2016-09-04,2933,361,1585,562,119,487,1308,265,1451,4803,745,3523
2016-09-05,1465,262,1303,1355,199,1698,3198,532,3896,6018,993,6897
2016-09-06,955,280,1051,398,119,512,2237,373,2366,3590,772,3929
2016-09-07,2254,443,2144,1036,259,1353,1920,472,2441,5210,1174,5938
2016-09-08,1171,291,1050,633,116,838,1277,286,1738,3081,693,3626
2016-09-09,611,132,674,365,114,611,1051,197,1443,2027,443,2728
2016-09-10,466,113,500,401,111,641,676,116,1568,1543,340,2709
2016-09-11,311,149,377,213,97,380,824,213,1640,1348,459,2397
2016-09-12,3848,424,2696,415,104,440,2747,639,2716,7010,1167,5852
2016-09-13,1995,337,2972,881,234,1063,2131,501,2740,5007,1072,6775
2016-09-14,2354,505,2341,1461,426,1635,2842,616,3523,6657,1547,7499
2016-09-15,1519,392,1842,2013,339,1801,3601,668,4523,7133,1399,8166
2016-09-16,3756,486,3172,1125,413,1039,2479,644,3003,7360,1543,7214
2016-09-17,1335,401,1370,628,184,472,1534,465,1724,3497,1050,3566
2016-09-18,1257,329,1407,1191,348,1010,1948,452,2420,4396,1129,4837
2016-09-19,1424,326,1460,1087,397,1535,2638,566,3197,5149,1289,6192
2016-09-20,3588,606,3470,1010,303,1098,2072,533,2445,6670,1442,7013
2016-09-21,2192,365,1980,1810,310,2039,2110,666,2507,6112,1341,6526
2016-09-22,1777,427,1816,1340,306,1402,3900,481,5149,7017,1214,8367
2016-09-23,1514,447,1676,1099,250,1258,2108,376,2843,4721,1073,5777
2016-09-24,3898,872,3639,4370,359,3213,6050,834,6038,14318,2065,12890
2016-09-25,2554,444,2471,1642,242,2022,2073,483,2769,6269,1169,7262
2016-09-26,2262,347,2418,1294,362,1390,3898,753,4761,7454,1462,8569
2016-09-27,2203,556,2244,686,229,734,2998,850,3497,5887,1635,6475
2016-09-28,2298,469,2350,1296,278,1288,2722,593,2817,6316,1340,6455
