Date,Positive_nlikes,Positive_nreplies,Positive_nretweets,Negative_nlikes,Negative_nreplies,Negative_nretweets,Neutral_nlikes,Neutral_nreplies,Neutral_nretweets,Total_nlikes,Total_nreplies,Total_nretweets
2020-06-07,18594,722,2518,17471,522,4798,6326,270,2094,42391,1514,9410
2020-06-08,4486,349,1722,3465,311,910,578,82,92,8529,742,2724
2020-06-09,6689,671,959,2516,217,647,1209,128,244,10414,1016,1850
2020-06-10,33942,717,4358,20026,524,3495,3779,208,720,57747,1449,8573
2020-06-11,6301,712,1650,30294,1537,7479,1230,236,307,37825,2485,9436
2020-06-12,6268,894,1179,3023,283,743,3116,139,632,12407,1316,2554
2020-06-13,18784,1769,4254,12180,315,1357,1893,445,278,32857,2529,5889
2020-06-14,18244,1177,4755,14902,583,4733,12412,557,2862,45558,2317,12350
2020-06-15,11875,584,2298,5624,581,1048,2148,176,638,19647,1341,3984
2020-06-16,11821,609,2826,4750,451,1987,1599,158,480,18170,1218,5293
2020-06-17,13518,937,5464,1885,272,660,1262,156,485,16665,1365,6609
2020-06-18,4871,873,1521,2172,152,479,1476,92,577,8519,1117,2577
2020-06-19,7071,526,1660,4433,168,1575,2091,117,454,13595,811,3689
2020-06-20,4776,986,869,2340,261,488,1172,76,320,8288,1323,1677
2020-06-21,2578,268,537,1567,151,294,545,69,146,4690,488,977
2020-06-22,8774,405,1922,1669,202,504,2845,174,426,13288,781,2852
2020-06-23,17029,611,3944,3170,227,951,626,79,185,20825,917,5080
2020-06-24,11586,819,4597,2117,238,613,701,85,174,14404,1142,5384
2020-06-25,7747,453,2306,1611,129,609,1509,85,469,10867,667,3384
2020-06-26,6377,426,1893,1168,148,332,1415,104,172,8960,678,2397
2020-06-27,17166,808,3556,3142,296,1127,2591,196,561,22899,1300,5244
2020-06-28,7912,535,1991,30090,306,14683,905,116,211,38907,957,16885
2020-06-29,8127,565,1623,1679,270,300,2246,165,477,12052,1000,2400
2020-06-30,9369,574,2202,6120,425,2177,659,151,140,16148,1150,4519
2020-07-01,11784,777,2158,3202,312,887,1674,109,211,16660,1198,3256
2020-07-02,4954,356,1225,1451,129,269,1282,155,141,7687,640,1635
